id,name
100000,Snail
100001,Blue Snail
100002,Red Snail
100003,Spore
100004,Orange Mushroom
100005,Stump
100006,Slime
100007,Pig
100100,Snail
100120,Tino
100130,Muru
100121,Tiv
100131,Murupa
100122,Timu
100132,Murupia
100123,Tiru
100133,Murumuru
100124,Tiguru
100134,Murukun
100200,Starfish
100101,Blue Snail
120100,Shroom
130100,Stump
130101,Red Snail
150000,Potted Sprout
150001,Potted Morning Glory
150002,Grape Juice Bottle
210100,Slime
1110100,Green Mushroom
1110130,Dejected Green Mushroom
1110101,Dark Stump
1120100,Octopus
1130100,Axe Stump
1140100,Ghost Stump
1140130,Smirking Ghost Stump
1150000,Patrol Robot
1150001,Strange Sign
1150002,Serpent
1210100,Pig
1210101,Ribbon Pig
1210111,Strange Pig
1210102,Orange Mushroom
1210103,Bubbling
1210104,Blue Ribbon Pig
1220000,Yellow Starfish
1220001,Angry Starfish
1220002,Jellyfish
1220003,Cool Jellyfish
2100100,Desert Rabbit (F)
2100101,Desert Rabbit (M)
2100102,Jr. Cactus
2100103,Cactus
2100104,Royal Cactus
2100105,Bellamoa
2100106,Ear Plug Plead
2100107,Scarf Plead
2100108,Meerkat
2110200,Horny Mushroom
2110300,Sand Rat
2110301,Scorpion
2130100,Dark Axe Stump
2130103,Jr. Necki
2150000,Water Thief Monster
2150001,Dust Box
2150002,Streetlight
2150003,Patrol Robot S
2220000,Mano 
2220100,Blue Mushroom
2220110,Crying Blue Mushroom
2230100,Evil Eye
2230101,Zombie Mushroom
2230131,Annoyed Zombie Mushroom
2230102,Wild Boar
2230112,Terrified Wild Boar
2230113,Surgeon Eye
2230114,Muddy Swamp Monster
2230115,Muddy Sprout Monster
2230103,Trixter
2230104,Green Trixter
2230105,Seacle
2230106,Cico
2230107,Krappy
2230108,Pinboom
2230109,Bubble Fish
2230110,Wooden Mask
2230111,Rocky Mask
2230200,Flower Fish
2300100,Stirge
2400000,Sleepy Grobbler
2400001,Alert Grobbler
2400002,Grumpy Grobbler
2400003,Limestone Tokka
2400004,Amethyst Tokka
2400005,Laloong
2400006,Kaloong
2400007,Nefarious Monk Initiate
2400008,Nefarious Monk Apprentice
2400009,Nefarious Monk Master
2400010,Heretic Monk Initiate
2400011,Heretic Monk Apprentice
2400012,Heretic Leader
2400013,Onyx Stonegar
2400014,Gravi Stonegar
2400015,Faded Specter Battle Hound
2400016,Faded Specter Shieldbearer
2400017,Faded Guerrilla Specter
2400018,Faded Warrior Specter
2400019,Faded Magician Specter
2400020,Faded Reaper Specter
2400100,Blue Speeyor
2400101,Red Speeyor
2400102,Yellow Speeyor
